id,date,group,from,to,x,z,y,direction,idk,funny
2250,2023-11-23 12:35:14,15,nrf5340,raspi,1956,1701,1626,5,0,fuck IT with a stick
2251,2023-11-23 12:35:16,15,nrf5340,raspi,1958,1693,1625,5,0,fuck IT with a stick
2252,2023-11-23 12:35:18,15,nrf5340,raspi,1965,1698,1629,5,0,fuck IT with a stick
2253,2023-11-23 12:35:20,15,nrf5340,raspi,1960,1699,1627,5,0,fuck IT with a stick
2254,2023-11-23 12:35:22,15,nrf5340,raspi,1965,1693,1622,5,0,fuck IT with a stick
2255,2023-11-23 12:35:24,15,nrf5340,raspi,1974,1696,1609,5,0,fuck IT with a stick
2256,2023-11-23 12:35:25,15,nrf5340,raspi,1973,1701,1625,5,0,fuck IT with a stick
2257,2023-11-23 12:35:27,15,nrf5340,raspi,1971,1714,1625,5,0,fuck IT with a stick
2258,2023-11-23 12:35:29,15,nrf5340,raspi,1960,1692,1625,5,0,fuck IT with a stick
2259,2023-11-23 12:35:31,15,nrf5340,raspi,1968,1676,1621,5,0,fuck IT with a stick
2260,2023-11-23 12:35:33,15,nrf5340,raspi,1959,1669,1631,5,0,fuck IT with a stick
2261,2023-11-23 12:35:35,15,nrf5340,raspi,1959,1659,1621,5,0,fuck IT with a stick
2262,2023-11-23 12:35:37,15,nrf5340,raspi,1958,1648,1618,5,0,fuck IT with a stick
2263,2023-11-23 12:35:38,15,nrf5340,raspi,1968,1634,1617,5,0,fuck IT with a stick
2264,2023-11-23 12:35:40,15,nrf5340,raspi,1959,1628,1616,5,0,fuck IT with a stick
2265,2023-11-23 12:35:42,15,nrf5340,raspi,1959,1628,1619,5,0,fuck IT with a stick
2266,2023-11-23 12:35:44,15,nrf5340,raspi,1953,1640,1588,5,0,fuck IT with a stick
2267,2023-11-23 12:35:46,15,nrf5340,raspi,1959,1643,1590,5,0,fuck IT with a stick
2268,2023-11-23 12:35:48,15,nrf5340,raspi,1960,1645,1588,5,0,fuck IT with a stick
2269,2023-11-23 12:35:50,15,nrf5340,raspi,1957,1650,1588,5,0,fuck IT with a stick
2270,2023-11-23 12:35:52,15,nrf5340,raspi,1961,1659,1599,5,0,fuck IT with a stick
2271,2023-11-23 12:35:54,15,nrf5340,raspi,1963,1659,1603,5,0,fuck IT with a stick
2272,2023-11-23 12:35:55,15,nrf5340,raspi,1953,1652,1621,5,0,fuck IT with a stick
2273,2023-11-23 12:35:58,15,nrf5340,raspi,1957,1658,1610,5,0,fuck IT with a stick
2274,2023-11-23 12:36:00,15,nrf5340,raspi,1952,1658,1627,5,0,fuck IT with a stick
2275,2023-11-23 12:36:01,15,nrf5340,raspi,1961,1662,1620,5,0,fuck IT with a stick
